year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1917,2649,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1919,2700,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,Amur River,"Amur River, Russ",52.9333,141.167,4
1919,2701,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,Amur River,"Amur River, Russ",52.9333,141.167,4
1919,2702,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,Amur River,"Amur River, Russ",52.9333,141.167,4
1945,2704,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,195734,Manchuria,"Harbin, China",45.75,126.65,3
1964,2707,China-Russia Border,Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,116.711,49.8305,5,ArcGIS and cShapes,Point along a line,,201474,china-ussr border,mid pt on border,53.2939,120.89,4
1965,2708,Mongolia,Centroid of ADM0,103.083,46.8353,6,ArcGIS and cShapes,State,"China, Mongola, Russia borders meet in two places",197127,"border, Mongolia",Ulaanbaatar,47.9167,106.917,4
1967,2710,"Dairen, China","Dairen, China",121.615,38.914,1,latlong.net,Precise location text,,185644,"Darien, Beijing","Dairen, China",38.9122,121.602,1
1968,2711,China-Russia Border,Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,116.711,49.8305,5,ArcGIS and cShapes,Point along a line,,201474,china-ussr border,mid pt on border,53.2939,120.89,4
1973,2712,"Ulaanbaatar, Mongolia","Ulaanbaatar, Mongolia",106.906,47.8864,8,latlong.net,Capital,,198574,Mongolia,Ulaanbaatar,47.9167,106.917,5
1974,2713,Mongolia,Centroid of ADM0,103.083,46.8353,6,ArcGIS and cShapes,State,"China, Mongola, Russia borders meet in two places",197127,"pt where borders of usr, chn, mon meet",,49.95,116.95,2
1977,2714,China (Jiangxi [ADM1]),Centroid of ADM1,115.721,27.6137,4,ArcGIS and GADM,ADM1,,169792,Xiajiang province,"Xiajiang (Jiangxi), China",25.7556,108.692,3
1978,2715,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,Amur and Ussuri Rivers,"Amur River, Russia",52.9333,141.167,4
1979,2716,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112,4,ArcGIS and GADM,ADM1,,189171,Xinjiang province,"Xinjiang, China",35.6128,111.218,3
1980,2717,Argun River,Midpoint of river,120.053,51.5769,5,ArcGIS and Natural Earth Data,Point along a line,,204361,"Argun River, Xinjiang Province","Argun River, China",53.3333,121.467,4
1986,2718,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,"Amur, Ussuri Rivers","Amur River, Russia",52.4333,141.167,4
1871,2721,Sakhalin Island,Sakhalin Island,142.951,50.691,4,latlong.net,Island,,202966,Sakhalin Island,"Sakhalin, Russ. Fed.",51,143,3
1920,2722,Sakhalin Island,Sakhalin Island,142.951,50.691,4,latlong.net,Island,,202966,Sakhalin Island,"Sakhalin, Russia",51,143,3
1936,2724,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,198625,Amur,"Amur River, Russ",52.9333,141.167,4
1945,2725,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,,195765,Nomahan,coast of USSR near jap,45.3092,137.164,4
1978,2727,Kuril Islands,Kuril Islands,150.971,47.1544,5,latlong.net,Island,,197942,Kurile Islands,"Kuril Islands, Russia",46.1667,152,3
1984,2728,Kuril Islands,Kuril Islands,150.971,47.1544,5,latlong.net,Island,,197942,Kurile Islands,Kurile Islands,46.1667,152,3
1963,2729,"Quan Phu Quoe, Vietnam","Quan Phu Quoe, Vietnam",103.967,10.2305,1,latlong.net,Precise location text,,144568,Quan Phu Quoe,"Quan Phu, Vietnam",19.9333,105.517,1
1962,2730,Cambodia (Svay Reing [ADM1]),Centroid of ADM1,105.861,11.1569,4,ArcGIS and GADM,ADM1,,146012,Parrots Beak,"parrots beak, cambodia",10.9258,106.101,3
1960,2731,"Quan Phu Quac, Vietnam","Quan Phu Quac, Vietnam",103.984,10.2899,2,latlong.net,Island,,144568,Quan Phu Quac Island,"Quan Phu, Vietnam",19.9333,105.517,3
1959,2732,Cambodia (Svay Reing [ADM1]),Centroid of ADM1,105.861,11.1569,4,ArcGIS and GADM,ADM1,,146012,Parrots Beak,"Parrots Beak, cambodia",10.9258,106.101,3
1916,2733,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1987,2734,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2735,"Barra del Colorado, Costa Rica","Barra del Colorado, Costa Rica",-83.7199,10.6918,5,latlong.net,> ADM1,,144913,Near Barra del Colorado,Barranco Colorado,-6.51667,-79.7167,2
1987,2736,Dominican Republic-Haiti Border,Midpoint of shared (national) border,-71.7183,18.7414,5,ArcGIS and cShapes,Point along a line,,156457,Dominican Republic/Haiti border,"Comendador, DR",18.8775,-71.7028,4
1987,2737,"Grand Banks, Newfoundland","Grand Banks, Newfoundland",-50,45,3,latlong.net,Bank,,194661,Near Newfoundland,Grand Banks of Newfoundland,45,-53,3
1987,2738,Sweden Territorial Waters,Centroid of mainland territorial waters,17.3734,57.276,3,ArcGIS and Marine Regions,Territorial waters,,212075,Territorial Waters of Sweden,Oland,57.0667,9.6,4
1987,2739,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2740,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2741,"Panama City, Panama","Panama City, Panama",-79.5199,8.98238,8,latlong.net,Capital,,142041,Panama,Panama City,27,51,5
1987,2742,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,162916,Cuba,Havana,23.1319,-82.3642,5
1978,2743,Egypt-Libya Border,Midpoint of shared (national) border,25.0003,26.9777,5,ArcGIS and cShapes,Point along a line,,168171,Egyptian/Libyan border,"Siwa, Egypt",29.2,25.5167,4
1961,2744,"Ouidah, Benin","Ouidah, Benin",2.07632,6.37165,1,latlong.net,Precise location text,,138605,"Fort of Ajuda, Ouidah Dahomey","Ajuda, Azores",38.7,-9.2,1
1988,2745,Indonesia-Papua New Guinea Border,Midpoint of shared (national) border,141.006,-5.95494,5,ArcGIS and cShapes,Point along a line,,121603,Border of Indonesia/Papau New Guinea,"Ninati, Indonesia",-5.73333,140.95,4
1988,2746,Spratly Islands,Spratly Islands,111.917,8.63333,5,latlong.net,Island,,142424,Spratlys Islands,Spratly Island,8.63333,111.917,3
1988,2747,Myanmar Territorial Waters,Centroid of mainland territorial waters,95.5929,15.1422,3,ArcGIS and Marine Regions,Territorial waters,,151752,waters near Burma,Rangoon,16.7833,96.1667,4
1988,2748,Papua New Guinea Territorial Waters,Centroid of mainland territorial waters,148.537,-10.2925,3,ArcGIS and Marine Regions,Territorial waters,,115138,Waters of Papua New Guinea,Bismarck Sea,-4,148,4
1988,2749,Spratly Islands,Spratly Islands,111.917,8.63333,5,latlong.net,Island,,142424,Spratly Islands,Spratly Island,8.63333,111.917,3
1988,2750,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan strait,Taiwan Straits,24,119,5
1988,2751,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persia Gulf,Persian Gulf,27,51,5
1988,2752,Mubarras Island,Mubarras Island,53.3056,24.5779,2,latlong.net,Island,,165347,Mubarak,Mubarras Oil Field,24.5,53.6833,1
1988,2753,"Mababane, Swaziland","Mababane, Swaziland",31.1367,-26.3054,8,latlong.net,Capital,,91863,Swaziland,Mbabane,-26.3167,31.1333,5
1988,2754,"Gaborone, Botswana","Gaborone, Botswana",25.9231,-24.6282,8,latlong.net,Capital,,94012,Botswana,Gaborone,-24.6464,25.9119,5
1988,2755,"Harare, Zimbabwe","Harare, Zimbabwe",31.0335,-17.8252,8,latlong.net,Capital,,104103,Zimbabwe,Harare,-17.8333,31.05,5
1988,2757,"Khartoum, Sudan","Khartoum, Sudan",32.5599,15.5007,8,latlong.net,Capital,,152346,Sudan,Khartoum,15.5881,32.5342,5
1988,2758,"Larak Island, Iran","Larak Island, Iran",56.3712,26.8483,2,latlong.net,Island,,168233,"Larak Island, Persian Gulf","Larak Island, Iran",26.8533,56.3556,3
1988,2759,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1988,2760,Cyprus-Northern Cyprus Border,Midpoint of shared (national) border,33.4695,35.1045,5,ArcGIS and GADM,Point along a line,,180427,Buffer zone on Cyprus,"Nicosia, Cyprus",35.1667,33.3667,4
1988,2762,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1988,2763,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian gulf,Persian Gulf,27,51,5
1988,2764,"Larak Island, Iran","Larak Island, Iran",56.3712,26.8483,2,latlong.net,Island,,168233,Larak Island in Persian Gulf,"Larak Island, Iran",26.8533,56.3556,3
1988,2765,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian gulf,Persian Gulf,27,51,5
1988,2767,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1988,2768,Colombia-Venezuela Border,Midpoint of shared (national) border,-69.9777,6.80034,5,ArcGIS and cShapes,Point along a line,,139181,Columbia-Venezuelan border,"Culebra, Colombia",6.09861,-69.3867,4
1988,2769,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1988,2770,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617,5,ArcGIS and cShapes,Point along a line,,145631,Costa Rica near border,"Los Chiles, Costa Rica",11.0333,-84.7167,4
1988,2771,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082,5,ArcGIS and cShapes,Point along a line,,149950,Nicaragua/Honduras border,mid pt of border,14.0992,-85.5356,4
1988,2772,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1988,2773,"Grand Banks, Newfoundland","Grand Banks, Newfoundland",-50,45,3,latlong.net,Bank,,194661,off coast of Newfoundland,Grand Banks of Newfoundland,45,-53,3
1988,2774,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1988,2775,Gulf of Sidra,Gulf of Sidra,18,31.5,4,latlong.net,Gulf,,175357,110 km off Libyan coast,"Gulf of Sidra, Libya",31.5,18,3
1987,2776,Laos (Xaignabouri [ADM1]),Centroid of ADM1,101.346,18.9406,4,ArcGIS and GADM,ADM1,,156803,Sayaboung province Laos,Sayaboung / Viangchan,17.9667,102.6,3
1987,2777,Myanmar Territorial Waters,Centroid of mainland territorial waters,95.5929,15.1422,3,ArcGIS and Marine Regions,Territorial waters,,151752,waters of Burma,Rangoon,16.7833,96.1667,4
1987,2778,Palk Strait,Palk Strait,79.2,8.50893,3,latlong.net,Strait,,142359,Palk straight,Palk Strait,10,79.75,4
1987,2779,Bangladesh-India (Tripura [ADM1]) Border,Midpoint of shared (subnational) border,91.3137,23.3583,5,ArcGIS and GADM,Point along a line,,163263,Border with Toripura,"Tripura, India",24,92,1
1987,2780,Spratly Islands,Spratly Islands,111.917,8.63333,5,latlong.net,Island,,142424,Spratly Island,Spratly Island,8.63333,111.917,3
1987,2782,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straight,Taiwan Straits,24,119,5
1987,2783,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217,5,ArcGIS and cShapes,Point along a line,Uses 2015 data,155266,Oman S.Yemen boreder area,"Habarut, Yemen",17.3,52.7333,4
1987,2784,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Perisan Gulf,Persian Gulf,27,51,5
1987,2785,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2786,Iraq-Syria Border,Midpoint of shared (national) border,41.2236,34.8775,5,ArcGIS and cShapes,Point along a line,,179723,Iraq Syria border,"Abu Kamal, Syria",34.45,40.9186,4
1987,2788,Iraq-Turkey Border,Midpoint of shared (national) border,43.7267,37.2257,5,ArcGIS and cShapes,Point along a line,,183328,In Turkey (near Iraqi border),"Hakkari, Turkey",37.5667,43.7333,4
1987,2789,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2790,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2791,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2792,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian gulf,Persian Gulf,27,51,5
1987,2793,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2794,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2796,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2797,Kuwait,Centroid of ADM0,47.5909,29.3408,6,ArcGIS and cShapes,State,,171816,Kuwait and Kuwaiti waters,Kuwait,29.3697,47.9783,5
1987,2798,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2799,Iran-Turkey Border,Midpoint of shared (national) border,44.3185,38.5819,5,ArcGIS and cShapes,Point along a line,,185489,Turkish Iran border region,"Qotur, Iran",38.4661,44.4422,4
1987,2800,Mozambique-South Africa Border,Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,31.7482,-23.8098,5,ArcGIS and cShapes,Point along a line,,95464,Mozambique s.Africa border,Lebombo,-25.4667,31.9667,4
1987,2801,"Lourenco Marques, Mozambique","Lourenco Marques, Mozambique",32.6051,-25.892,1,latlong.net,Precise location text,,92586,"Maputo, Mozambique",Maputo,-25.9653,32.5892,1
1987,2802,Ethiopia-Sudan Border,Midpoint of shared (national) border,34.8118,10.7249,5,ArcGIS and cShapes,Point along a line,,145150,Ethiopia Sudan border,"Qeissan, Sudan",10.7333,34.7833,4
1986,2803,Sudan (Eastern [> ADM1]),Centroid of > ADM1,34.0495,14.1504,5,ArcGIS and GADM,> ADM1,,150189,Eastern Sudan,"Tokar, Sudan",18.4333,37.7333,3
1987,2804,Kenya-Uganda Border,Midpoint of shared (national) border,34.9566,1.58421,5,ArcGIS and cShapes,Point along a line,,132190,Kenya Uganda border,"Moroto, Uganda",2.53333,34.65,4
1987,2805,Uganda (Northwest [> ADM1]),Centroid of > ADM1,31.659,2.40119,5,ArcGIS and GADM,> ADM1,,132904,Northwest Uganda,Rhino Camp,2.96667,31.4,3
1987,2806,Congo (Mindouli [ADM2]),Centroid of ADM2,14.3532,-4.19671,3,ArcGIS and GADM,ADM2,,123509,Mindoulin region of Congo,"Mindouli, Congo",-4.26833,14.3839,3
1987,2807,Nigeria (Borno [ADM1]),Centroid of ADM1,13.1764,11.8943,4,ArcGIS and GADM,ADM1,,146547,Borno State Nigeria,"Borno, Nigeria",11.5,13,3
1987,2808,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2809,"Laayoune, Western Sahara","Laayoune, Western Sahara",-13.1625,27.1253,8,latlong.net,Capital,,168814,Western Sahara,Laayoune,27.1536,-13.2033,5
1987,2810,Botswana-South Africa Border,Midpoint of shared (national) border,20.6702,-25.5372,5,ArcGIS and cShapes,Point along a line,,92562,,saf-bot border,-25.72,25.52,4
1987,2811,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2812,Gulf of Venezuela,Gulf of Venezuela,-70.9071,11.339,4,latlong.net,Gulf,,145659,Gulf of Venezuela,Gulf of Venezuela,11.5,-71,3
1987,2814,Unspecified,,,,-99,,Location unclear or unspecified,,0,Location unclear or unspecified,,.,,
1987,2815,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2816,Bay of Gdansk,Bay of Gdansk,19.0852,54.5995,3,latlong.net,Bay,,208479,Bay of Gdansk,Bay of Gdansk,54.6667,19.25,3
1987,2817,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2818,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2819,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2820,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2821,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2822,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2823,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2824,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian gulf,Persian Gulf,27,51,5
1987,2825,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2826,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2827,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Barents Sea,Persian Gulf,27,51,5
1987,2828,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2832,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2833,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,168224,Persian Gulf,Persian Gulf,27,51,5
1987,2834,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1878,2835,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728,4,ArcGIS and GADM,ADM1,,186166,Thessaly,Thessalia,39.5,22,3
1885,2836,Greece (Epirus [ADM1]),Centroid of ADM1,21.1384,39.9875,4,ArcGIS and GADM,ADM1,,186883,"Epirus, Greece",Epirus,39.6667,20.6667,1
1896,2837,Greece,Midpoint of coastline,23.1314,37.79,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,184007,,md point of GRE coast,36.63,23.17,4
1959,2838,Japan-South Korea Border (Territorial Waters),Midpoint of shared (territorial water) border,129.143,34.7672,5,ArcGIS and Marine Regions,Point along a line,,179899,Waters off Japan and Korea,"Tsushima, Japan",37.5667,140.75,4
1948,2840,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1959,2841,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433,5,ArcGIS and cShapes,Point along a line,,153198,Thailand near Burma border,"Mae Hong Son, Thailand",19.2667,97.9333,4
1955,2847,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,,195765,Near Keucke Is.,waters between usr-jap,44.0242,138.73,3
1957,2849,"Prague, Czech Republic","Prague, Czech Republic",14.4378,50.0755,8,latlong.net,Capital,,201989,Czechoslovakia,Prague,50.0833,14.4667,5
1957,2850,"New Dheli, India","New Dheli, India",77.209,28.6139,8,latlong.net,Capital,,171155,India,New Delhi,28.6,77.2,5
1958,2852,Japan-Russia Border (Territorial Waters),Midpoint of shared (territorial water) border,142.007,45.7095,5,ArcGIS and Marine Regions,Point along a line,,195765,Kaigiara Island,waters between usr-jap,44.0242,138.73,3
1958,2853,China Territorial Waters,Centroid of territorial waters,120.175,25.5996,3,ArcGIS and Marine Regions,Territorial waters,,166921,Waters near China,waters between jap-chn,31.195,125.704,4
1958,2854,"Berlin, Germany","Berlin, Germany",13.405,52.52,8,latlong.net,Capital,,205587,East Germany,Berlin,52.5167,13.4,5
1958,2855,"Berlin, Germany","Berlin, Germany",13.405,52.52,8,latlong.net,Capital,,205587,East Germany,Berlin,52.5167,13.4,5
1958,2857,"Tirana, Albania","Tirana, Albania",19.8187,41.3275,8,latlong.net,Capital,,189040,Albania,Tirana,41.3275,19.8189,5
1958,2858,"Tirana, Albania","Tirana, Albania",19.8187,41.3275,8,latlong.net,Capital,,189040,Albania,Tirana,41.3275,19.8189,5
1959,2859,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straits,Taiwan Straits,24,119,5
1959,2860,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191,3,ArcGIS and Marine Regions,Territorial waters,,103242,Waters near Brazil,mid pt of coast,-10.3231,-36.3331,4
1959,2861,Kuril Islands,Kuril Islands,150.971,47.1544,5,latlong.net,Island,,197942,Near Kuril Is.,"Kuril Islands, Russia",46.1667,152,3
1959,2862,Paracel Islands,Paracel Islands,112.25,16.5,5,latlong.net,Island,,153225,Paracel Islands,Paracel Islands,16.5,112.25,3
1959,2863,"Luzon, Philippines","Luzon, Philippines",121.263,16.5662,2,latlong.net,Near,,153963,Near Luzon,"Luzon, Philippines",16,121,2
1958,2865,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,211328,North Sea,North Sea,55.3333,3,5
1959,2869,"Karachi, Pakistan","Karachi, Pakistan",67.0099,24.8615,8,latlong.net,Capital,,165375,Pakistan,Karachi,24.8667,67.05,5
1959,2870,"Berne, Switzerland","Berne, Switzerland",7.447447,46.947974,8,latlong.net,Capital,,196935,Switzerland,Berne,46.9167,7.46667,5
1959,2871,Iranian Coastline (Caspian),Midpoint of coastline,51.6802,36.6202,5,ArcGIS and cShapes,Point along a line,,182624,"Iran, near USSR border","Mashhad, Iran",35.6031,52.4747,4
1960,2873,Kuril Islands,Kuril Islands,150.971,47.1544,5,latlong.net,Island,,197942,Near Kurile Is.,"Kuril Islands, Russia",46.1667,152,3
1960,2875,Iceland,Centroid of ADM0,-18.6055,64.9976,6,ArcGIS and cShapes,State,,222803,waters off Iceland,Reykyavik,64.15,-21.95,4
1960,2876,Austria-West Germany Border,Midpoint of shared (national) border,9.59932,47.5319,5,ArcGIS and cShapes,Point along a line,,198380,Austria and West German border,"Kufstein, Austria",47.5833,12.1667,4
1960,2877,Austria-Italy Border,Midpoint of shared (national) border,12.215,47.0873,5,ArcGIS and cShapes,Point along a line,,197665,Austria/Italy Border,"Sillian, Austria",46.7528,12.4211,4
1960,2878,Austria-Hungary Border,Midpoint of shared (national) border,16.6784,47.5965,5,ArcGIS and cShapes,Point along a line,,198394,Austria/Hungary Border,mid pt of border,47.4744,16.5817,4
1961,2880,"Arsila, Morocco","Arsila, Morocco",-6.03087,35.4646,2,latlong.net,Near,,180348,near Arsila,"Arsila, Morocco",35.4656,-6.04028,2
1961,2882,Kuril Islands,Kuril Islands,150.971,47.1544,5,latlong.net,Island,,197942,Near Kuril Islands,"Kuril Islands, Russia",46.1667,152,3
1961,2884,China-North Vietnam Border (Territorial Waters),Midpoint of shared (territorial water) border,108.096,21.4494,5,ArcGIS and Marine Regions,Point along a line,,160417,Kingying Island,china-viet waters,19.5778,107.92,3
1960,2885,India-Pakistan Border,Midpoint of shared (national) border,70.4596,24.4126,5,ArcGIS and cShapes,Point along a line,,164661,India/Pakistan Border,"Kasur, Pakistan",31.115,74.4547,4
1961,2887,"Ifni, Morocco","Ifni, Morocco",-10.1759,29.3701,1,latlong.net,Precise location text,,171700,Ifni,"Ifni, Morocco",29.25,-10.1333,1
1962,2888,"Hokkaido, Japan","Hokkaido, Japan",142.552,43.3857,4,ArcGIS and GADM,ADM1,,192166,Waters near Hokkaido,"Hokkaido, Japan",44,143,4
1962,2890,Guinea-Guinea Bissau Border,Midpoint of shared (national) border,-13.8519,11.671,5,ArcGIS and cShapes,Point along a line,Uses 1974 data,146493,Guinea/Port. Guinea Border,"Boe, Guinea-Bissau",11.75,-14.2167,4
1966,2891,"Matsu Tao, China","Matsu Tao, China",119.931,26.1499,2,latlong.net,Near,,167640,near Matsu,"Matsu Tao, China",26.1489,119.937,2
1963,2892,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Strait,Taiwan Straits,24,119,5
1963,2894,"Halmahera, Indonesia","Halmahera, Indonesia",128.485,1.31212,2,latlong.net,Near,,131657,"near Halnahera, indonesia",halmahera,1.50167,127.707,2
1963,2897,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117,5,ArcGIS and GADM,> ADM1,,181905,Northern Iran,"Tabriz, Iran",38.08,46.2919,3
1963,2898,"Prague, Czech Republic","Prague, Czech Republic",14.4378,50.0755,8,latlong.net,Capital,,201989,Czechoslovakia,Prague,50.0833,14.4667,5
1963,2899,Bering Strait,Bering Strait,-168.395,65.8938,3,latlong.net,Strait,,223944,"Bering Straits, Alaska",Bering Strait,66,-169,5
1964,2901,Black Sea,Black Sea,34.2993,43.413,5,latlong.net,Sea,,191949,Black Sea,Black Sea,43,35,5
1964,2904,Indonesia Territorial Waters,Point along Territorial Waters boundary nearest centroid of noncontiguous Territorial Waters,120.221,1.23538,5,ArcGIS and Marine Regions,Point along a line,,131641,waters near Indonesia,Banda Sea,-5,128,4
1964,2906,"Cairo, Egypt","Cairo, Egypt",31.2357,30.0444,8,latlong.net,Capital,,173223,Egypt (UAR),Cairo,30.05,31.25,5
1964,2907,Sweden Territorial Waters,Centroid of mainland territorial waters,17.3734,57.276,3,ArcGIS and Marine Regions,Territorial waters,,212075,Waters off Sweden,Gotland,57.5,18.55,4
1964,2908,"Bonn, Germany","Bonn, Germany",7.09821,50.7374,8,latlong.net,Capital,,202695,West Germany,Bonn,50.7333,7.1,5
1965,2910,Mediterranean Sea,Mediterranean Sea,18.048,34.5531,5,latlong.net,Sea,,179677,Mediterranean Sea,Mediterranean Sea,35,20,5
1965,2913,Indonesia Territorial Waters,Point along Territorial Waters boundary nearest centroid of noncontiguous Territorial Waters,120.221,1.23538,5,ArcGIS and Marine Regions,Point along a line,,131641,Indonesia waters,"Irian Jaya, Indonesia",-5,138,4
